geo_name,geo_sumlevel,geo_id,pop_2013,pop_2014,pop_2015,pop_2016
"Belmont County, OH","county",05000US39013,69990,69793,69560,69228
"Brown County, OH","county",05000US39015,44604,44464,44247,44059
"Butler County, OH","county",05000US39017,369650,371154,372538,373638
"Carroll County, OH","county",05000US39019,28689,28539,28361,28108
"Champaign County, OH","county",05000US39021,39855,39628,39393,39175
"Clark County, OH","county",05000US39023,137763,137303,136827,136175
"Clermont County, OH","county",05000US39025,198417,199450,200285,201092
"Clinton County, OH","county",05000US39027,42013,41871,41892,41854
"Columbiana County, OH","county",05000US39029,107078,106622,105987,105230
"Coshocton County, OH","county",05000US39031,36862,36768,36724,36665
"Crawford County, OH","county",05000US39033,43348,43036,42725,42485
"Cuyahoga County, OH","county",05000US39035,1272533,1267513,1263189,1258710
"Darke County, OH","county",05000US39037,52666,52537,52356,52185
"Defiance County, OH","county",05000US39039,38911,38795,38669,38488
"Delaware County, OH","county",05000US39041,178139,181821,185433,188996
"Erie County, OH","county",05000US39043,76634,76416,76141,75808
"Fairfield County, OH","county",05000US39045,147110,148067,149112,150163
"Fayette County, OH","county",05000US39047,28902,28875,28769,28719
"Franklin County, OH","county",05000US39049,1181824,1197592,1215761,1232118
"Fulton County, OH","county",05000US39051,42601,42541,42485,42466
"Gallia County, OH","county",05000US39053,30859,30763,30565,30376
"Geauga County, OH","county",05000US39055,93610,93819,93874,94020
"Greene County, OH","county",05000US39057,162588,163313,164192,164325
"Guernsey County, OH","county",05000US39059,39935,39794,39626,39478
"Hamilton County, OH","county",05000US39061,802481,803272,804194,805965
"Hancock County, OH","county",05000US39063,75239,75290,75428,75672
"Hardin County, OH","county",05000US39065,31886,31826,31736,31652
"Harrison County, OH","county",05000US39067,15766,15698,15633,15521
"Henry County, OH","county",05000US39069,28164,28074,28015,27890
"Highland County, OH","county",05000US39071,43395,43266,43170,43109
"Hocking County, OH","county",05000US39073,29268,29111,28914,28690
"Holmes County, OH","county",05000US39075,42841,43176,43436,43702
"Huron County, OH","county",05000US39077,59390,59186,58937,58704
"Jackson County, OH","county",05000US39079,33034,32952,32854,32717
"Jefferson County, OH","county",05000US39081,68928,68510,68053,67607
"Knox County, OH","county",05000US39083,60925,61063,61004,60878
"Lake County, OH","county",05000US39085,229850,229602,229437,229266
"Lawrence County, OH","county",05000US39087,62309,62100,61827,61503
"Licking County, OH","county",05000US39089,167065,167911,168693,169762
"Logan County, OH","county",05000US39091,45678,45564,45484,45388
"Lorain County, OH","county",05000US39093,301720,302465,303152,304091
"Lucas County, OH","county",05000US39095,439511,438167,436261,434800
"Madison County, OH","county",05000US39097,43221,43326,43456,43537
"Mahoning County, OH","county",05000US39099,237033,235809,234550,233015
"Marion County, OH","county",05000US39101,66323,66171,65943,65620
"Medina County, OH","county",05000US39103,173252,174091,174831,175543
"Meigs County, OH","county",05000US39105,23659,23564,23473,23345
"Mercer County, OH","county",05000US39107,40811,40789,40863,40886
"Miami County, OH","county",05000US39109,102867,103145,103517,103864
"Monroe County, OH","county",05000US39111,14646,14590,14547,14442
"Montgomery County, OH","county",05000US39113,536433,534801,533763,532761
"Morgan County, OH","county",05000US39115,15008,14977,14913,14857
"Morrow County, OH","county",05000US39117,34932,34991,34996,35032
"Muskingum County, OH","county",05000US39119,85872,85947,86016,85991
"Noble County, OH","county",05000US39121,14639,14561,14508,14429
"Ottawa County, OH","county",05000US39123,41372,41304,41162,40981
"Paulding County, OH","county",05000US39125,19441,19293,19165,19057
"Perry County, OH","county",05000US39127,36051,36000,36025,35947
"Pickaway County, OH","county",05000US39129,55949,56279,56515,56804
"Pike County, OH","county",05000US39131,28587,28504,28396,28298
"Portage County, OH","county",05000US39133,163387,161553,161897,161796
"Preble County, OH","county",05000US39135,42050,41887,41682,41561
"Putnam County, OH","county",05000US39137,34339,34256,34184,34116
"Richland County, OH","county",05000US39139,123387,122813,122312,121888
"Ross County, OH","county",05000US39141,77802,77552,77334,77193
"Sandusky County, OH","county",05000US39143,60619,60498,60187,59870
"Scioto County, OH","county",05000US39145,78952,78520,78017,77366
"Seneca County, OH","county",05000US39147,56376,56100,55929,55711
"Shelby County, OH","county",05000US39149,49317,49165,49067,48949
"Stark County, OH","county",05000US39151,375348,375090,374979,374762
"Summit County, OH","county",05000US39153,541592,541464,541847,541372
"Trumbull County, OH","county",05000US39155,208792,207596,206373,204908
"Tuscarawas County, OH","county",05000US39157,92528,92616,92697,92579
"Union County, OH","county",05000US39159,52683,53090,53470,53955
"Van Wert County, OH","county",05000US39161,28685,28612,28576,28501
"Vinton County, OH","county",05000US39163,13365,13319,13234,13128
"Warren County, OH","county",05000US39165,215274,217623,219916,222184
"Washington County, OH","county",05000US39167,61600,61473,61351,61154
"Wayne County, OH","county",05000US39169,114750,114978,115371,115747
"Williams County, OH","county",05000US39171,37623,37493,37386,37270
"Wood County, OH","county",05000US39173,127325,128139,128885,129418
"Wyandot County, OH","county",05000US39175,22582,22535,22467,22359
"Adair County, OK","county",05000US40001,22427,22380,22236,22161
"Alfalfa County, OK","county",05000US40003,5674,5703,5755,5784
"Atoka County, OK","county",05000US40005,14070,13958,13906,13847
"Beaver County, OK","county",05000US40007,5605,5581,5530,5479
"Beckham County, OK","county",05000US40009,22715,22941,23300,23290
"Blaine County, OK","county",05000US40011,10198,9832,9810,9777
"Bryan County, OK","county",05000US40013,43079,43595,44003,44529
"Caddo County, OK","county",05000US40015,29605,29551,29495,29510
"Canadian County, OK","county",05000US40017,119546,122832,126193,129571
"Carter County, OK","county",05000US40019,47904,48288,48442,48530
"Cherokee County, OK","county",05000US40021,47488,47860,48097,48267
"Choctaw County, OK","county",05000US40023,15167,15175,15120,15051
"Cimarron County, OK","county",05000US40025,2432,2390,2341,2269
"Cleveland County, OK","county",05000US40027,261047,264934,268614,271818
"Coal County, OK","county",05000US40029,5927,5877,5812,5755
"Comanche County, OK","county",05000US40031,124591,125647,125531,124583
"Cotton County, OK","county",05000US40033,6166,6157,6112,6062
"Craig County, OK","county",05000US40035,14869,14792,14744,14683
"Creek County, OK","county",05000US40037,70246,70607,70761,70931
"Custer County, OK","county",05000US40039,28092,28506,28978,29248
"Delaware County, OK","county",05000US40041,41394,41415,41409,41433
"Dewey County, OK","county",05000US40043,4800,4817,4863,4862
"Ellis County, OK","county",05000US40045,4120,4113,4121,4123
"Garfield County, OK","county",05000US40047,60956,61663,62192,62481
"Garvin County, OK","county",05000US40049,27410,27421,27455,27570
"Grady County, OK","county",05000US40051,52855,53161,53612,53955
"Grant County, OK","county",05000US40053,4522,4523,4517,4497
"Greer County, OK","county",05000US40055,6178,6144,6117,6081
"Harmon County, OK","county",05000US40057,2894,2883,2866,2813
"Harper County, OK","county",05000US40059,3710,3747,3766,3785
"Haskell County, OK","county",05000US40061,12849,12839,12850,12835
"Hughes County, OK","county",05000US40063,13838,13840,13785,13727
"Jackson County, OK","county",05000US40065,26280,26275,26056,25864
"Jefferson County, OK","county",05000US40067,6457,6377,6333,6280
"Johnston County, OK","county",05000US40069,10982,11043,11022,11027
"Kay County, OK","county",05000US40071,46122,45781,45587,45398
"Kingfisher County, OK","county",05000US40073,15069,15202,15302,15392
"Kiowa County, OK","county",05000US40075,9389,9379,9302,9239
"Latimer County, OK","county",05000US40077,11034,10921,10774,10643
"Le Flore County, OK","county",05000US40079,50062,50048,49899,49885
"Lincoln County, OK","county",05000US40081,34238,34366,34504,34640
"Logan County, OK","county",05000US40083,42871,43700,44493,45171
"Love County, OK","county",05000US40085,9496,9574,9663,9768
"McClain County, OK","county",05000US40087,35155,35860,36512,37222
"McCurtain County, OK","county",05000US40089,33143,33164,33143,33071
"McIntosh County, OK","county",05000US40091,20358,20334,20280,20161
"Major County, OK","county",05000US40093,7604,7639,7700,7721
"Marshall County, OK","county",05000US40095,15860,15964,16014,16079
"Mayes County, OK","county",05000US40097,41110,41084,41007,40923
"Murray County, OK","county",05000US40099,13571,13656,13733,13792
"Muskogee County, OK","county",05000US40101,70657,70519,70224,69939
"Noble County, OK","county",05000US40103,11529,11498,11506,11470
"Nowata County, OK","county",05000US40105,10580,10555,10555,10510
"Okfuskee County, OK","county",05000US40107,12268,12260,12248,12212
"Oklahoma County, OK","county",05000US40109,732118,743145,754480,764698
"Okmulgee County, OK","county",05000US40111,39747,39606,39446,39322
"Osage County, OK","county",05000US40113,47800,47937,48054,47923
"Ottawa County, OK","county",05000US40115,32029,32086,32085,32022
"Pawnee County, OK","county",05000US40117,16592,16566,16499,16444
"Payne County, OK","county",05000US40119,77897,78723,79423,79953
"Pittsburg County, OK","county",05000US40121,45417,45220,44961,44643
"Pontotoc County, OK","county",05000US40123,37700,37873,38055,38213
"Pottawatomie County, OK","county",05000US40125,70144,70700,71136,71551
"Pushmataha County, OK","county",05000US40127,11406,11315,11226,11149
